T?nh Thành Ph?	Qu?n Huy?n	Ph??ng Xã			
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Phúc Xá	Phuong Phuc Xa	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Trúc B?ch	Phuong Truc Bach	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng V?nh Phúc	Phuong Vinh Phuc	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng C?ng V?	Phuong Cong Vi	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Li?u Giai	Phuong Lieu Giai	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Nguy?n Trung Tr?c	Phuong Nguyen Trung Truc	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Quán Thánh	Phuong Quan Thanh	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Ng?c Hà	Phuong Ngoc Ha	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng ?i?n Biên	Phuong Dien Bien	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng ??i C?n	Phuong Doi Can	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Ng?c Khánh	Phuong Ngoc Khanh	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Kim Mã	Phuong Kim Ma	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Gi?ng Võ	Phuong Giang Vo	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Ba ?ình	Ph??ng Thành Công	Phuong Thanh Cong	Quan Ba Dinh	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Phúc Tân	Phuong Phuc Tan	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng ??ng Xuân	Phuong Dong Xuan	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng Mã	Phuong Hang Ma	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng Bu?m	Phuong Hang Buom	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng ?ào	Phuong Hang Dao	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng B?	Phuong Hang Bo	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng C?a ?ông	Phuong Cua Dong	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Lý Thái T?	Phuong Ly Thai To	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng B?c	Phuong Hang Bac	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Hàng Gai	Phuong Hang Gai	Quan Hoan Kiem	Thanh pho Ha Noi
Thành ph? Hà N?i	Qu?n Hoàn Ki?m	Ph??ng Ch??ng D??ng	Phuong Chuong Duong	Quan Hoan Kiem	Thanh pho Ha Noi
